suite,backend,total,expected_known,solved,solved_unchecked,wrong,errors,timeouts,unsolved,avg_solved_sec,max_solved_sec,avg_solved_or_unchecked_sec
growing,asp,55,55,26,0,0,0,0,29,5.812927,49.514985,5.812927
growing,coso,55,55,55,0,0,0,0,0,0.361447,0.972742,0.361447
growing,essence,55,55,42,0,0,0,0,13,10.231762,86.793072,10.231762
growing,propositionalwfomc,55,55,0,0,0,55,0,0,,,
growing,wfomc,55,55,55,0,0,0,0,0,0.912902,1.954078,0.912902
real,asp,272,272,118,0,0,0,0,154,0.667366,19.453234,0.667366
real,coso,272,272,145,0,31,96,0,0,0.498995,28.634965,0.498995
real,essence,272,272,123,0,0,0,0,149,4.778617,72.667990,4.778617
real,propositionalwfomc,272,272,0,0,0,271,1,0,,,
real,wfomc,272,272,271,0,0,0,1,0,1.121450,71.839511,1.121450
