suite,case_id,backend,status,result,expected,elapsed_sec,error_type,error_message,tags,source
synthetic,entitycount-10-operatorcount-1-constraintcount-0-0d34b0a7cd86b50e,wfomc,solved,120,120,0.235230,,,synthetic;family=entitycount-10-operatorcount-1-constraintcount-0;entitycount=10;operatorcount=1;constraintcount=0;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-0-0d34b0a7cd86b50e,propositionalwfomc,error,,120,0.234172,GanakError,ganak exited with code 255,synthetic;family=entitycount-10-operatorcount-1-constraintcount-0;entitycount=10;operatorcount=1;constraintcount=0;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-0-0d34b0a7cd86b50e,coso,solved,120,120,0.124190,,,synthetic;family=entitycount-10-operatorcount-1-constraintcount-0;entitycount=10;operatorcount=1;constraintcount=0;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-0-0d34b0a7cd86b50e,asp,solved,120,120,0.127395,,,synthetic;family=entitycount-10-operatorcount-1-constraintcount-0;entitycount=10;operatorcount=1;constraintcount=0;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-0-0d34b0a7cd86b50e,essence,solved,120,120,1.916142,,,synthetic;family=entitycount-10-operatorcount-1-constraintcount-0;entitycount=10;operatorcount=1;constraintcount=0;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-0-d4483e8ad18aedcd,wfomc,solved,181440,181440,0.207846,,,synthetic;family=entitycount-10-operatorcount-1-constraintcount-0;entitycount=10;operatorcount=1;constraintcount=0;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-0-d4483e8ad18aedcd,propositionalwfomc,error,,181440,0.325001,GanakError,ganak exited with code 255,synthetic;family=entitycount-10-operatorcount-1-constraintcount-0;entitycount=10;operatorcount=1;constraintcount=0;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-0-d4483e8ad18aedcd,coso,error,,181440,0.128996,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,synthetic;family=entitycount-10-operatorcount-1-constraintcount-0;entitycount=10;operatorcount=1;constraintcount=0;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-0-d4483e8ad18aedcd,asp,unsolved,,181440,0.111222,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,synthetic;family=entitycount-10-operatorcount-1-constraintcount-0;entitycount=10;operatorcount=1;constraintcount=0;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-0-d4483e8ad18aedcd,essence,unsolved,,181440,0.111135,CoSoEncodingError,CoSo backend does not support Cofola circle objects.,synthetic;family=entitycount-10-operatorcount-1-constraintcount-0;entitycount=10;operatorcount=1;constraintcount=0;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-1-086334d2e41765e0,wfomc,solved,0,0,5.523860,,,synthetic;family=entitycount-10-operatorcount-1-constraintcount-1;entitycount=10;operatorcount=1;constraintcount=1;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-1-086334d2e41765e0,propositionalwfomc,error,,0,15.161072,GanakError,ganak exited with code 255,synthetic;family=entitycount-10-operatorcount-1-constraintcount-1;entitycount=10;operatorcount=1;constraintcount=1;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-1-086334d2e41765e0,coso,solved,0,0,0.305061,,,synthetic;family=entitycount-10-operatorcount-1-constraintcount-1;entitycount=10;operatorcount=1;constraintcount=1;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-1-086334d2e41765e0,asp,unsolved,,0,0.171225,BaselineUnsupportedError,ASP baseline translator does not support partition.,synthetic;family=entitycount-10-operatorcount-1-constraintcount-1;entitycount=10;operatorcount=1;constraintcount=1;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-1-086334d2e41765e0,essence,unsolved,1,0,0.694935,WrongAnswer,"expected 0, got 1",synthetic;family=entitycount-10-operatorcount-1-constraintcount-1;entitycount=10;operatorcount=1;constraintcount=1;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-2-0e826c127e923b9f,wfomc,solved,0,0,3.689610,,,synthetic;family=entitycount-10-operatorcount-1-constraintcount-2;entitycount=10;operatorcount=1;constraintcount=2;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-2-0e826c127e923b9f,propositionalwfomc,error,,0,12.866453,GanakError,ganak exited with code 255,synthetic;family=entitycount-10-operatorcount-1-constraintcount-2;entitycount=10;operatorcount=1;constraintcount=2;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-2-0e826c127e923b9f,coso,error,,0,0.130334,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,synthetic;family=entitycount-10-operatorcount-1-constraintcount-2;entitycount=10;operatorcount=1;constraintcount=2;depth=1,problems/benchmarks/synthetic/manifest.json
synthetic,entitycount-10-operatorcount-1-constraintcount-2-0e826c127e923b9f,asp,unsolved,,0,0.112437,CoSoEncodingError,CoSo backend does not support Cofola sequence objects; use TupleDef/tuple(...) for CoSo-compatible ordered arrangements.,synthetic;family=entitycount-10-operatorcount-1-constraintcount-2;entitycount=10;operatorcount=1;constraintcount=2;depth=1,problems/benchmarks/synthetic/manifest.json
